"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"H2_001N"," !!Total:"
"H2_002N"," !!Total:!!Urban"
"H2_003N"," !!Total:!!Rural"
"H2_004N"," !!Total:!!Not defined for this file"
